Airline,Airline_ID,Source_Airport,Source_Airport_ID,Destination_Airport,Destination_Airport_ID,Codeshare,Stops,Equipment,Source_Airport_Name,Source_City,Source_Country,Source_Latitude,Source_Longitude,Destination_Airport_Name,Destination_City,Destination_Country,Destination_Latitude,Destination_Longitude,Route,Route_Type
6E,2850.0,BOM,2997.0,BDQ,3001.0,,0,320,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Vadodara Airport,Baroda,India,22.336201,73.226303,Chhatrapati Shivaji International Airport → Vadodara Airport,Domestic
6E,2850.0,BOM,2997.0,BLR,3131.0,,0,320,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Kempegowda International Airport,Bangalore,India,13.1979,77.706299,Chhatrapati Shivaji International Airport → Kempegowda International Airport,Domestic
6E,2850.0,BOM,2997.0,CCU,3043.0,,0,320,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.654699325561523,88.44670104980469,Chhatrapati Shivaji International Airport → Netaji Subhash Chandra Bose International Airport,Domestic
6E,2850.0,BOM,2997.0,CJB,3135.0,,0,320,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Coimbatore International Airport,Coimbatore,India,11.029999733,77.0434036255,Chhatrapati Shivaji International Airport → Coimbatore International Airport,Domestic
6E,2850.0,BOM,2997.0,COK,3136.0,,0,320,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Cochin International Airport,Kochi,India,10.152,76.401901,Chhatrapati Shivaji International Airport → Cochin International Airport,Domestic
6E,2850.0,BOM,2997.0,DEL,3093.0,,0,320,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Chhatrapati Shivaji International Airport → Indira Gandhi International Airport,Domestic
6E,2850.0,BOM,2997.0,DXB,2188.0,,0,320,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Dubai International Airport,Dubai,United Arab Emirates,25.2527999878,55.3643989563,Chhatrapati Shivaji International Airport → Dubai International Airport,International
6E,2850.0,BOM,2997.0,GAU,6173.0,,0,320,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Lokpriya Gopinath Bordoloi International Airport,Guwahati,India,26.10610008239746,91.58589935302734,Chhatrapati Shivaji International Airport → Lokpriya Gopinath Bordoloi International Airport,Domestic
6E,2850.0,BOM,2997.0,GOI,3007.0,,0,320,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Dabolim Airport,Goa,India,15.3808002472,73.8313980103,Chhatrapati Shivaji International Airport → Dabolim Airport,Domestic
6E,2850.0,BOM,2997.0,IDR,3008.0,,0,320,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Devi Ahilyabai Holkar Airport,Indore,India,22.7217998505,75.8011016846,Chhatrapati Shivaji International Airport → Devi Ahilyabai Holkar Airport,Domestic
6E,2850.0,BOM,2997.0,IXC,3089.0,,0,320,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Chandigarh Airport,Chandigarh,India,30.67350006103516,76.78849792480469,Chhatrapati Shivaji International Airport → Chandigarh Airport,Domestic
6E,2850.0,BOM,2997.0,IXJ,3100.0,,0,320,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Jammu Airport,Jammu,India,32.6890983582,74.8374023438,Chhatrapati Shivaji International Airport → Jammu Airport,Domestic
6E,2850.0,BOM,2997.0,JAI,3098.0,,0,320,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Jaipur International Airport,Jaipur,India,26.8242,75.812202,Chhatrapati Shivaji International Airport → Jaipur International Airport,Domestic
6E,2850.0,BOM,2997.0,LKO,3105.0,,0,320,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Chaudhary Charan Singh International Airport,Lucknow,India,26.7605991364,80.8892974854,Chhatrapati Shivaji International Airport → Chaudhary Charan Singh International Airport,Domestic
6E,2850.0,BOM,2997.0,MAA,3144.0,,0,320,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Chennai International Airport,Madras,India,12.990005493164062,80.16929626464844,Chhatrapati Shivaji International Airport → Chennai International Airport,Domestic
6E,2850.0,BOM,2997.0,MCT,2194.0,,0,320,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Muscat International Airport,Muscat,Oman,23.593299865722656,58.284400939941406,Chhatrapati Shivaji International Airport → Muscat International Airport,International
6E,2850.0,BOM,2997.0,NAG,3015.0,,0,320,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Dr. Babasaheb Ambedkar International Airport,Nagpur,India,21.092199325561523,79.04720306396484,Chhatrapati Shivaji International Airport → Dr. Babasaheb Ambedkar International Airport,Domestic
6E,2850.0,BOM,2997.0,PAT,3061.0,,0,320,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Lok Nayak Jayaprakash Airport,Patina,India,25.591299057,85.0879974365,Chhatrapati Shivaji International Airport → Lok Nayak Jayaprakash Airport,Domestic
6E,2850.0,BOM,2997.0,SXR,3112.0,,0,320,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Sheikh ul Alam Airport,Srinagar,India,33.987098693847656,74.77420043945312,Chhatrapati Shivaji International Airport → Sheikh ul Alam Airport,Domestic
6E,2850.0,BOM,2997.0,TRV,3153.0,,0,320,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Trivandrum International Airport,Trivandrum,India,8.48211956024,76.9200973511,Chhatrapati Shivaji International Airport → Trivandrum International Airport,Domestic
6E,2850.0,CCU,3043.0,AMD,2994.0,,0,320,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.654699325561523,88.44670104980469,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,23.0771999359,72.63469696039999,Netaji Subhash Chandra Bose International Airport → Sardar Vallabhbhai Patel International Airport,Domestic
